# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 29K of event 'cycles:ppp'
# Event count (approx.): 21822785868
#
# Overhead  Command          Shared Object                            Symbol                                                                                                                                                                                                                                        
# ........  ...............  .......................................  ..............................................................................................................................................................................................................................................
#
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] kfree
     0.00%  Timer            [kernel.kallsyms]                        [k] entry_SYSCALL_64_after_hwframe
     0.00%  swapper          [kernel.kallsyms]                        [k] rcu_note_context_switch
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] anon_vma_clone
     0.00%  chrome           chrome                                   [.] 0x0000000003fba6e0
     0.00%  Xorg             [kernel.kallsyms]                        [k] set_task_cpu
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                  [.] g_array_set_size
     0.00%  swapper          [kernel.kallsyms]                        [k] check_preempt_curr
     0.00%  sleep            [kernel.kallsyms]                        [k] vma_compute_subtree_gap
     0.00%  swapper          [kernel.kallsyms]                        [k] rcu_process_callbacks
     0.00%  Chrome_IOThread  chrome                                   [.] 0x0000000003ebda74
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] unix_poll
     0.00%  swapper          [kernel.kallsyms]                        [k] _raw_spin_lock_irqsave
     0.00%  chrome           chrome                                   [.] 0x0000000006dfe3b4
     0.00%  Chrome_IOThread  chrome                                   [.] 0x000000000444f5a4
     0.00%  chrome           chrome                                   [.] 0x000000000301d8a6
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x00000000017d6e00
     0.00%  pgrep            ld-2.27.so                               [.] _dl_start
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] update_load_avg
     0.00%  Xorg             libgbm.so.1.0.0                          [.] 0x0000000000003d40
     0.00%  pgrep            ld-2.27.so                               [.] __GI___tunables_init
     0.00%  chrome           chrome                                   [.] 0x0000000003f24a68
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010bba40
     0.00%  Xorg             Xorg                                     [.] ReadRequestFromClient
     0.00%  Xorg             [kernel.kallsyms]                        [k] pick_next_task_fair
     0.00%  chrome           chrome                                   [.] 0x0000000006dfe3b7
     0.00%  chrome           chrome                                   [.] 0x0000000003f08b23
     0.00%  chrome           chrome                                   [.] 0x00000000019b3140
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010db0d4
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001bdba45
     0.00%  chrome           [kernel.kallsyms]                        [k] activate_task
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] free_unref_page_commit
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] sys_futex
     0.00%  chrome           chrome                                   [.] 0x0000000007730090
     0.00%  chrome           chrome                                   [.] 0x0000000006a21b40
     0.00%  stremio          [kernel.kallsyms]                        [k] get_page_from_freelist
     0.00%  chrome           chrome                                   [.] 0x000000000740f800
     0.00%  stremio          [kernel.kallsyms]                        [k] cpuacct_charge
     0.00%  chrome           [kernel.kallsyms]                        [k] unix_stream_read_generic
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] __fdget
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] update_cfs_rq_h_load
     0.00%  jetbrains-toolb  libQt5Core.so.5.10.1                     [.] 0x00000000000a3945
     0.00%  TeamViewer       [kernel.kallsyms]                        [k] update_cfs_group
     0.00%  WebExtensions    libxul.so                                [.] 0x00000000042b5f53
     0.00%  Chrome_IOThread  chrome                                   [.] 0x0000000003fae23f
     0.00%  chrome           chrome                                   [.] 0x0000000006e1f7c0
     0.00%  node             [kernel.kallsyms]                        [k] __fget_light
     0.00%  stremio          [kernel.kallsyms]                        [k] update_curr
     0.00%  chrome           perf-738.map                             [.] 0x000023a2d620e940
     0.00%  chrome           chrome                                   [.] 0x0000000003ed7d66
     0.00%  Web Content      libxul.so                                [.] 0x00000000008fe228
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010db0d8
     0.00%  firefox          firefox                                  [.] malloc
     0.00%  swapper          [kernel.kallsyms]                        [k] __perf_event_task_sched_out
     0.00%  stremio          [kernel.kallsyms]                        [k] pipe_poll
     0.00%  stremio          [kernel.kallsyms]                        [k] copy_user_generic_unrolled
     0.00%  xtl-netreq-4     dropbox                                  [.] bn_mul_mont
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] 0x0000000002837f10
     0.00%  gnome-shell      libmutter-cogl-2.so                      [.] 0x00000000000723e0
     0.00%  Web Content      [vdso]                                   [.] 0x0000000000000977
     0.00%  Web Content      libxul.so                                [.] 0x00000000008f749a
     0.00%  sleep thread     dropbox                                  [.] resize_compact
     0.00%  Timer            [kernel.kallsyms]                        [k] syscall_return_via_sysret
     0.00%  xtl-netreq-4     dropbox                                  [.] partial_call
     0.00%  Web Content      libxul.so                                [.] 0x00000000008edbb0
     0.00%  Web Content      libpthread-2.27.so                       [.] __pthread_mutex_lock
     0.00%  pgrep            [kernel.kallsyms]                        [k] uprobe_mmap
     0.00%  Xorg             [unknown]                                [k] 0xfffffe000010e01b
     0.00%  chrome           chrome                                   [.] 0x0000000003095692
     0.00%  teamviewerd      [kernel.kallsyms]                        [k] show_tty_active
     0.00%  chrome           chrome                                   [.] 0x0000000001d04390
     0.00%  stremio          [kernel.kallsyms]                        [k] unix_stream_read_generic
     0.00%  gsd-color        libglib-2.0.so.0.5600.3                  [.] 0x0000000000049416
     0.00%  chrome           [kernel.kallsyms]                        [k] unix_poll
     0.00%  ActorThread #5   dropbox                                  [.] PyUnicode_Substring
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x0000000000180295
     0.00%  kworker/u16:34   [kernel.kallsyms]                        [k] update_cfs_group
     0.00%  swapper          [kernel.kallsyms]                        [k] sched_clock
     0.00%  gnome-shell      libc-2.27.so                             [.] cfree@GLIBC_2.2.5
     0.00%  Chrome_IOThread  chrome                                   [.] 0x00000000054d288e
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010be0d0
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] get_mem_cgroup_from_mm
     0.00%  Chrome_ChildIOT  [unknown]                                [k] 0xfffffe000013a01b
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000000df99b0
     0.00%  swapper          [kernel.kallsyms]                        [k] account_entity_enqueue
     0.00%  WebExtensions    libxul.so                                [.] 0x000000000088cda2
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] set_task_rq_fair
     0.00%  ActorThread #2   dropbox                                  [.] PyCFunction_NewEx
     0.00%  chrome           chrome                                   [.] 0x00000000037aadd0
     0.00%  chrome           libX11.so.6.3.0                          [.] XSetErrorHandler
     0.00%  chrome           chrome                                   [.] 0x0000000002b5fae0
     0.00%  Xorg             [kernel.kallsyms]                        [k] try_to_wake_up
     0.00%  Timer            libxul.so                                [.] 0x00000000008f4800
     0.00%  Web Content      libxul.so                                [.] 0x00000000008d8f43
     0.00%  JS Helper        libmozjs-52.so.0.0.0                     [.] 0x000000000047e98e
     0.00%  Chrome_IOThread  chrome                                   [.] 0x00000000025534b6
     0.00%  Chrome_IOThread  chrome                                   [.] 0x00000000044568f0
     0.00%  chrome           [kernel.kallsyms]                        [k] entry_SYSCALL_64_stage2
     0.00%  WebExtensions    libxul.so                                [.] 0x00000000008528d5
     0.00%  chrome           chrome                                   [.] 0x0000000003fc1898
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x0000000005403b64
     0.00%  Web Content      [unknown]                                [k] 0xfffffe000013a01b
     0.00%  sleep            ld-2.27.so                               [.] strcmp
     0.00%  swapper          [kernel.kallsyms]                        [k] __slab_free
     0.00%  swapper          [kernel.kallsyms]                        [k] run_posix_cpu_timers
     0.00%  Web Content      libglib-2.0.so.0.5600.3                  [.] g_main_context_query
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] __atime_needs_update
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] page_remove_rmap
     0.00%  stremio          [kernel.kallsyms]                        [k] common_file_perm
     0.00%  Web Content      perf-8948.map                            [.] 0x00001db99f48a426
     0.00%  sleep            [kernel.kallsyms]                        [k] syscall_return_via_sysret
     0.00%  chrome           chrome                                   [.] 0x0000000003f0789d
     0.00%  gnome-shell      [kernel.kallsyms]                        [k] _raw_spin_lock
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000000df8aa0
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010bb9f0
     0.00%  chrome           chrome                                   [.] 0x0000000003ec63c0
     0.00%  chrome           chrome                                   [.] 0x0000000006443cae
     0.00%  node             [kernel.kallsyms]                        [k] schedule
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010da9c8
     0.00%  kworker/4:3      [kernel.kallsyms]                        [k] __delete_from_page_cache
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001088ca0
     0.00%  JS Helper        libmozjs-52.so.0.0.0                     [.] 0x0000000000722f68
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] unix_stream_sendmsg
     0.00%  chrome           chrome                                   [.] 0x00000000019b1b9b
     0.00%  Xorg             Xorg                                     [.] 0x00000000001bafa0
     0.00%  chrome           libxcb.so.1.1.0                          [.] 0x000000000000c947
     0.00%  Web Content      [kernel.kallsyms]                        [k] common_file_perm
     0.00%  sublime_text     [unknown]                                [k] 0xfffffe00000b6025
     0.00%  swapper          [kernel.kallsyms]                        [k] cpumask_next_and
     0.00%  Chrome_IOThread  chrome                                   [.] 0x00000000044568f4
     0.00%  xtl-netreq-4     dropbox                                  [.] ASN1_item_ex_i2d
     0.00%  90captive_porta  libc-2.27.so                             [.] malloc
     0.00%  rcu_sched        [kernel.kallsyms]                        [k] update_load_avg
     0.00%  chrome           chrome                                   [.] 0x0000000003efb7e0
     0.00%  stremio          libQt5Core.so.5.9.5                      [.] 0x00000000000ab0be
     0.00%  irq/32-iwlwifi   [kernel.kallsyms]                        [k] packet_rcv
     0.00%  Xorg             Xorg                                     [.] 0x0000000000073066
     0.00%  stremio          [kernel.kallsyms]                        [k] unix_poll
     0.00%  WebExtensions    firefox                                  [.] 0x000000000000d5c4
     0.00%  Web Content      libxul.so                                [.] 0x0000000003ecc090
     0.00%  chrome           chrome                                   [.] 0x0000000003ec2208
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] 0x00000000042aff30
     0.00%  WebExtensions    libxul.so                                [.] 0x0000000003e30f00
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] cleanup_module
     0.00%  jetbrains-toolb  libglib-2.0.so.0.5600.3                  [.] g_main_context_check
     0.00%  chrome           chrome                                   [.] cfree
     0.00%  Compositor       [kernel.kallsyms]                        [k] do_syscall_64
     0.00%  swapper          [kernel.kallsyms]                        [k] rb_insert_color_cached
     0.00%  Xorg             [kernel.kallsyms]                        [k] security_socket_getpeersec_dgram
     0.00%  swapper          [kernel.kallsyms]                        [k] rb_insert_color
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x000000000444e06a
     0.00%  nautilus-deskto  [kernel.kallsyms]                        [k] sys_futex
     0.00%  gnome-shell      libmutter-clutter-2.so                   [.] 0x0000000000086250
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001be3814
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010e653b
     0.00%  chrome           chrome                                   [.] 0x0000000003b04db2
     0.00%  chrome           chrome                                   [.] 0x00000000081a46b0
     0.00%  gnome-shell      libc-2.27.so                             [.] __memset_avx2_unaligned_erms
     0.00%  dockerd          dockerd-ce                               [.] runtime.gentraceback
     0.00%  Chrome_IOThread  chrome                                   [.] 0x00000000054d2653
     0.00%  Chrome_IOThread  chrome                                   [.] 0x000000000444f633
     0.00%  chrome           perf-5172.map                            [.] 0x0000285849a890c0
     0.00%  swapper          [kernel.kallsyms]                        [k] hrtimer_cancel
     0.00%  teamviewerd      libpthread-2.27.so                       [.] pthread_cond_timedwait@@GLIBC_2.3.2
     0.00%  chrome           chrome                                   [.] 0x0000000003095846
     0.00%  chrome           chrome                                   [.] 0x00000000032b4d53
     0.00%  Web Content      libxul.so                                [.] 0x000000000415792e
     0.00%  Compositor       libc-2.27.so                             [.] _int_malloc
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010e6490
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] account_entity_enqueue
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010ad728
     0.00%  Web Content      [kernel.kallsyms]                        [k] apparmor_file_permission
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010d2430
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001833b20
     0.00%  Xorg             [kernel.kallsyms]                        [k] i915_vma_retire
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] try_to_wake_up
     0.00%  chrome           chrome                                   [.] 0x0000000003ec4dd0
     0.00%  WebExtensions    libxul.so                                [.] 0x00000000042b628c
     0.00%  chrome           [kernel.kallsyms]                        [k] resched_curr
     0.00%  Chrome_IOThread  libevent-2.1.so.6.0.2                    [.] evmap_io_active_
     0.00%  Web Content      libxul.so                                [.] __tls_get_addr@plt
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001896e60
     0.00%  Timer            firefox                                  [.] _ZN7mozilla9TimeStamp8NowFuzzyENS_14TimeStamp63BitE
     0.00%  Chrome_ChildIOT  libc-2.27.so                             [.] _int_malloc
     0.00%  chrome           libglib-2.0.so.0.5600.3                  [.] g_thread_self
     0.00%  Compositor       [kernel.kallsyms]                        [k] native_write_msr
     0.00%  node             node (deleted)                           [.] 0x00000000004c4cd4
     0.00%  swapper          [kernel.kallsyms]                        [k] resched_curr
     0.00%  systemd-resolve  [kernel.kallsyms]                        [k] kmem_cache_free
     0.00%  chrome           chrome                                   [.] 0x0000000003ecffe7
     0.00%  dockerd          dockerd-ce                               [.] runtime.scanframeworker
     0.00%  swapper          [kernel.kallsyms]                        [k] intel_pmu_disable_all
     0.00%  chrome           [kernel.kallsyms]                        [k] vfs_read
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010db250
     0.00%  chrome           chrome                                   [.] 0x000000000301c1d9
     0.00%  kworker/4:3      [kernel.kallsyms]                        [k] find_get_entries
     0.00%  chrome           chrome                                   [.] 0x0000000003f24a6c
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001088c50
     0.00%  Xorg             [kernel.kallsyms]                        [k] reservation_object_test_signaled_rcu
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001bef4c0
     0.00%  chrome           perf-354.map                             [.] 0x000004c98e95aaa5
     0.00%  Xorg             [kernel.kallsyms]                        [k] _cond_resched
     0.00%  kworker/5:1      [kernel.kallsyms]                        [k] find_get_entries
     0.00%  systemd-resolve  systemd-resolved                         [.] 0x000000000002ba70
     0.00%  chrome           chrome                                   [.] 0x0000000001c00440
     0.00%  dockerd          dockerd-ce                               [.] runtime.scanblock
     0.00%  gnome-terminal-  libc-2.27.so                             [.] __poll
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                  [.] g_variant_type_is_definite
     0.00%  Timer            firefox                                  [.] _ZN7mozilla6detail21ConditionVariableImpl8wait_forERNS0_9MutexImplERKNS_16BaseTimeDurationINS_27TimeDurationValueCalculatorEEE
     0.00%  sleep thread     dropbox                                  [.] _PyEval_EvalFrameDefault
     0.00%  chrome           [kernel.kallsyms]                        [k] __switch_to_xtra
     0.00%  stremio          libQt5Core.so.5.9.5                      [.] _ZN24QAbstractEventDispatcher13registerTimerEiN2Qt9TimerTypeEP7QObject
     0.00%  Chrome_IOThread  chrome                                   [.] 0x00000000025377fc
     0.00%  xtl-netreq-4     dropbox                                  [.] BN_bin2bn
     0.00%  Xorg             Xorg                                     [.] 0x00000000000ed08d
     0.00%  Xorg             [kernel.kallsyms]                        [k] intel_engine_cmd_parser
     0.00%  Xorg             [kernel.kallsyms]                        [k] ___sys_recvmsg
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] common_file_perm
     0.00%  chrome           chrome                                   [.] 0x00000000037a12b0
     0.00%  stremio          [kernel.kallsyms]                        [k] dequeue_task_fair
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] error_entry
     0.00%  swapper          [kernel.kallsyms]                        [k] do_IRQ
     0.00%  Web Content      [kernel.kallsyms]                        [k] mutex_unlock
     0.00%  swapper          [kernel.kallsyms]                        [k] call_cpuidle
     0.00%  chrome           chrome                                   [.] 0x0000000002a8ca48
     0.00%  chrome           chrome                                   [.] 0x000000000389af70
     0.00%  Compositor       libstdc++.so.6.0.25                      [.] _ZSt18_Rb_tree_decrementPKSt18_Rb_tree_node_base
     0.00%  Xorg             i965_dri.so                              [.] 0x00000000000c24c0
     0.00%  gnome-terminal-  libgobject-2.0.so.0.5600.3               [.] 0x000000000001d7e0
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x000000000444fd04
     0.00%  Xorg             Xorg                                     [.] FreeResource
     0.00%  ActorThread #2   dropbox                                  [.] _PyObject_GenericGetAttrWithDict
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] find_get_entry
     0.00%  chrome           chrome                                   [.] 0x0000000003fae8b1
     0.00%  stremio          [kernel.kallsyms]                        [k] check_cfs_rq_runtime
     0.00%  stremio          libQt5Core.so.5.9.5                      [.] _ZN7QObject5eventEP6QEvent
     0.00%  systemd-resolve  [kernel.kallsyms]                        [k] update_min_vruntime
     0.00%  gnome-shell      libmutter-clutter-2.so                   [.] 0x0000000000065ff0
     0.00%  chrome           [kernel.kallsyms]                        [k] _raw_spin_lock
     0.00%  Web Content      libxul.so                                [.] 0x0000000003eb1c46
     0.00%  chrome           chrome                                   [.] 0x00000000035ebec0
     0.00%  sleep thread     libffi.so.6                              [.] 0x0000000000001d12
     0.00%  Web Content      libxul.so                                [.] 0x0000000001091260
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010da9b2
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] fput
     0.00%  LIST_LEGACY      dropbox                                  [.] _PyEval_EvalFrameDefault
     0.00%  WebExtensions    libxul.so                                [.] 0x00000000040399ed
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] copy_user_enhanced_fast_string
     0.00%  Web Content      perf-8948.map                            [.] 0x00001db99f441a72
     0.00%  teamviewerd      libc-2.27.so                             [.] __strchrnul_avx2
     0.00%  ActorThread #2   dropbox                                  [.] PyDict_GetItem
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] unix_write_space
     0.00%  Web Content      libxul.so                                [.] 0x00000000008a26ad
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001843fc2
     0.00%  chrome           chrome                                   [.] 0x0000000001c7082a
     0.00%  Xorg             [kernel.kallsyms]                        [k] select_task_rq_fair
     0.00%  gnome-shell      libpango-1.0.so.0.4000.14                [.] 0x0000000000019fa0
     0.00%  kworker/u16:2    [kernel.kallsyms]                        [k] process_one_work
     0.00%  chrome           chrome                                   [.] 0x00000000037136b0
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x000000000107b080
     0.00%  QtWebEngineProc  libQt5WebEngineCore.so.5.9.5             [.] 0x00000000029f6290
     0.00%  Xorg             [kernel.kallsyms]                        [k] eb_lookup_vmas
     0.00%  Web Content      [kernel.kallsyms]                        [k] __update_idle_core
     0.00%  sleep thread     dropbox                                  [.] type_call
     0.00%  Compositor       [kernel.kallsyms]                        [k] futex_wake
     0.00%  stremio          ld-2.27.so                               [.] __tls_get_addr
     0.00%  gnome-terminal-  libvte-2.91.so.0.5200.2                  [.] 0x0000000000025030
     0.00%  Xorg             Xorg                                     [.] 0x00000000001bba0f
     0.00%  Web Content      libxul.so                                [.] 0x0000000004140260
     0.00%  chrome           chrome                                   [.] 0x00000000036f4350
     0.00%  chrome           chrome                                   [.] 0x0000000003efd7c0
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] fpu__drop
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] _find_next_bit
     0.00%  jetbrains-toolb  jetbrains-toolbox                        [.] 0x00000000001174d7
     0.00%  PressureMonitor  libjavascriptcoregtk-4.0.so.18.11.7      [.] 0x0000000000e5ed78
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5             [.] 0x00000000017e37c0
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001bd5a84
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5             [.] 0x000000000093f350
     0.00%  Web Content      libnspr4.so                              [.] pthread_getspecific@plt
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] generic_update_time
     0.00%  swapper          [kernel.kallsyms]                        [k] schedule_idle
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000000dfb3c9
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] 0x000000000083eef0
     0.00%  Xorg             [kernel.kallsyms]                        [k] _raw_spin_unlock_irqrestore
     0.00%  chrome           chrome                                   [.] 0x0000000001c326b9
     0.00%  Web Content      [kernel.kallsyms]                        [k] kthread_data
     0.00%  chrome           chrome                                   [.] 0x0000000003b04d63
     0.00%  stremio          libstdc++.so.6.0.25                      [.] malloc@plt
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] pthread_condattr_init@plt
     0.00%  firefox          ld-2.27.so                               [.] __tls_get_addr_slow
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] ___d_drop
     0.00%  sleep            [kernel.kallsyms]                        [k] __indirect_thunk_start
     0.00%  JS Helper        libmozjs-52.so.0.0.0                     [.] 0x00000000004801d9
     0.00%  systemd-resolve  libc-2.27.so                             [.] __libc_calloc
     0.00%  chrome           chrome                                   [.] 0x000000000341d230
     0.00%  chrome           [kernel.kallsyms]                        [k] timerqueue_add
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] ep_send_events_proc
     0.00%  jetbrains-toolb  [kernel.kallsyms]                        [k] __fget
     0.00%  swapper          [kernel.kallsyms]                        [k] select_idle_sibling
     0.00%  chrome           chrome                                   [.] 0x00000000064426e9
     0.00%  systemd-resolve  [kernel.kallsyms]                        [k] _raw_spin_lock_irqsave
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001066a60
     0.00%  Web Content      libxul.so                                [.] 0x0000000004018627
     0.00%  kworker/5:1      [kernel.kallsyms]                        [k] delayed_fput
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                  [.] 0x000000000008f1e6
     0.00%  chrome           chrome                                   [.] 0x0000000003f025d6
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] cpuacct_charge
     0.00%  chrome           chrome                                   [.] 0x0000000002326d60
     0.00%  chrome           [kernel.kallsyms]                        [k] do_futex
     0.00%  chrome           [kernel.kallsyms]                        [k] __kmalloc_node_track_caller
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] 0x0000000001843f20
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] skb_copy_datagram_from_iter
     0.00%  Xorg             libpixman-1.so.0.34.0                    [.] pixman_region_equal
     0.00%  stremio          [unknown]                                [k] 0xfffffe000013a01b
     0.00%  swapper          [kernel.kallsyms]                        [k] next_online_pgdat
     0.00%  stremio          libQt5Core.so.5.9.5                      [.] _ZN31QAbstractEventDispatcherPrivate15allocateTimerIdEv
     0.00%  WebExtensions    libxul.so                                [.] 0x00000000008e2210
     0.00%  teamviewerd      [kernel.kallsyms]                        [k] update_cfs_group
     0.00%  Xorg             Xorg                                     [.] 0x00000000001bd12d
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010d96e0
     0.00%  Web Content      [kernel.kallsyms]                        [k] apparmor_socket_recvmsg
     0.00%  chrome           chrome                                   [.] 0x0000000003f07af5
     0.00%  sublime_text     libc-2.27.so                             [.] malloc
     0.00%  swapper          [kernel.kallsyms]                        [k] migrate_task_rq_fair
     0.00%  Web Content      libxul.so                                [.] 0x00000000008e97a4
     0.00%  Xorg             [kernel.kallsyms]                        [k] __check_object_size
     0.00%  gsd-color        libglib-2.0.so.0.5600.3                  [.] g_main_context_prepare
     0.00%  chrome           chrome                                   [.] 0x0000000001a66062
     0.00%  systemd-resolve  libc-2.27.so                             [.] __strlen_avx2
     0.00%  chrome           chrome                                   [.] 0x0000000001975104
     0.00%  gsd-color        [kernel.kallsyms]                        [k] schedule
     0.00%  chrome           chrome                                   [.] 0x00000000036ee330
     0.00%  chrome           libpthread-2.27.so                       [.] __errno_location
     0.00%  gsd-color        libglib-2.0.so.0.5600.3                  [.] 0x0000000000049423
     0.00%  dockerd          dockerd-ce                               [.] runtime.markrootSpans
     0.00%  sublime_text     libgtk-x11-2.0.so.0.2400.32              [.] g_value_set_boolean@plt
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x00000000025463d0
     0.00%  chrome           chrome                                   [.] 0x0000000003f00ba0
     0.00%  swapper          [kernel.kallsyms]                        [k] ttwu_do_activate
     0.00%  stremio          libdbus-1.so.3.19.4                      [.] 0x0000000000029630
     0.00%  swapper          [kernel.kallsyms]                        [k] unfreeze_partials.isra.71
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] __accumulate_pelt_segments
     0.00%  chrome           [kernel.kallsyms]                        [k] set_normalized_timespec64
     0.00%  chrome           libpthread-2.27.so                       [.] __pthread_mutexattr_init
     0.00%  stremio          [kernel.kallsyms]                        [k] poll_freewait
     0.00%  sleep            ld-2.27.so                               [.] _dl_new_object
     0.00%  chrome           chrome                                   [.] 0x00000000066a11f5
     0.00%  JS Helper        libmozjs-52.so.0.0.0                     [.] 0x0000000000733e61
     0.00%  Web Content      libxul.so                                [.] 0x00000000010736a0
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] __check_heap_object
     0.00%  gnome-terminal-  libglib-2.0.so.0.5600.3                  [.] g_main_context_query
     0.00%  Compositor       libpthread-2.27.so                       [.] __pthread_mutex_destroy
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] native_sched_clock
     0.00%  Xorg             i965_dri.so                              [.] 0x0000000000462b3f
     0.00%  Chrome_IOThread  [kernel.kallsyms]                        [k] __indirect_thunk_start
     0.00%  swapper          [kernel.kallsyms]                        [k] calc_load_nohz_stop
     0.00%  gnome-terminal-  [kernel.kallsyms]                        [k] __check_object_size
     0.00%  chrome           chrome                                   [.] 0x00000000077f48b6
     0.00%  swapper          [kernel.kallsyms]                        [k] get_next_timer_interrupt
     0.00%  Compositor       [kernel.kallsyms]                        [k] _copy_from_user
     0.00%  Xorg             i965_dri.so                              [.] 0x00000000005a3bd0
     0.00%  swapper          [kernel.kallsyms]                        [k] apic_timer_interrupt
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5             [.] 0x00000000010e6490
     0.00%  JS Helper        libmozjs-52.so.0.0.0                     [.] 0x000000000047df6b
     0.00%  gsd-color        [kernel.kallsyms]                        [k] unix_stream_recvmsg
     0.00%  swapper          [kernel.kallsyms]                        [k] hrtimer_interrupt
     0.00%  chrome           [kernel.kallsyms]                        [k] do_syscall_64
