# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 29K of event 'cycles:ppp'
# Event count (approx.): 21822785868
#
# Overhead  Command          Shared Object                            Symbol                                                                                                                                                                                                                                        
# ........  ...............  .......................................  ..............................................................................................................................................................................................................................................
#
     0.01%  gnome-shell      libgobject-2.0.so.0.5600.3               [.] g_type_check_instance_cast
     0.01%  swapper          [kernel.kallsyms]                        [k] _find_next_bit
     0.01%  pgrep            [kernel.kallsyms]                        [k] vma_interval_tree_insert
     0.01%  node             node                                     [.] _ZN2v84base19TemplateHashMapImplImNS_8internal19SerializerReferenceENS0_18KeyEqualityMatcherIlEENS0_23DefaultAllocationPolicyEE14LookupOrInsertIZNS7_14LookupOrInsertERKmjS6_EUlvE_EEPNS0_20TemplateHashMapEntryImS3_EESA_jRKT_S6_.isra.61
     0.01%  node             node                                     [.] _ZN2v88internal15AstValueFactory24GetOneByteStringInternalENS0_6VectorIKhEE
     0.01%  node             node                                     [.] _ZN2v88internal11interpreter25BytecodeRegisterOptimizer21PrepareOutputRegisterENS1_8RegisterE
     0.01%  node             node                                     [.] _ZN2v88internal16DeclarationScope16AnalyzePartiallyEPNS0_14AstNodeFactoryE
     0.01%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x00000000007307b0
     0.01%  node             node                                     [.] _ZN2v88internal5Scope15LookupRecursiveEPNS0_9ParseInfoEPNS0_13VariableProxyEPS1_
     0.01%  node             [kernel.kallsyms]                        [k] timerqueue_add
     0.01%  node             node                                     [.] _ZN2v88internal11interpreter19BytecodeArrayWriter5WriteEPNS1_12BytecodeNodeE
     0.01%  swapper          [kernel.kallsyms]                        [k] _raw_spin_lock
     0.01%  swapper          [kernel.kallsyms]                        [k] set_cpu_sd_state_idle
     0.01%  node             [kernel.kallsyms]                        [k] native_irq_return_iret
     0.01%  node             node                                     [.] _ZN2v88internal10ParserBaseINS0_9PreParserEE14ParseArgumentsEPNS0_7Scanner8LocationEbPbS7_
     0.01%  node             libc-2.27.so                             [.] _int_malloc
     0.01%  perf             [unknown]                                [k] 0xfffffe000008a01b
     0.01%  gnome-shell      libglib-2.0.so.0.5600.3                  [.] g_slice_alloc
     0.01%  node             node                                     [.] _ZN2v88internalL24KeywordOrIdentifierTokenEPKhi.part.0
     0.01%  Compositor       libstdc++.so.6.0.25                      [.] 0x00000000000a9e1a
     0.01%  node             node                                     [.] _ZN2v88internal3Map13CopyWithFieldEPNS0_7IsolateENS0_6HandleIS1_EENS4_INS0_4NameEEENS4_INS0_9FieldTypeEEENS0_18PropertyAttributesENS0_17PropertyConstnessENS0_14RepresentationENS0_14TransitionFlagE
     0.01%  Web Content      firefox                                  [.] moz_arena_malloc
     0.01%  chrome           libc-2.27.so                             [.] __memcmp_avx2_movbe
     0.01%  pgrep            [kernel.kallsyms]                        [k] fsnotify
     0.01%  node             ld-2.27.so                               [.] _dl_relocate_object
     0.01%  gnome-shell      libgjs.so.0.0.0                          [.] 0x0000000000038138
     0.01%  pgrep            [kernel.kallsyms]                        [k] seq_open
     0.01%  pgrep            [kernel.kallsyms]                        [k] find_first_bit
     0.01%  pgrep            [kernel.kallsyms]                        [k] entry_SYSCALL_64_stage2
     0.01%  pgrep            libprocps.so.6.0.0                       [.] 0x00000000000065b0
     0.01%  pgrep            [kernel.kallsyms]                        [k] task_mem
     0.01%  pgrep            libc-2.27.so                             [.] malloc
     0.01%  pgrep            [kernel.kallsyms]                        [k] follow_page_pte
     0.01%  pgrep            [kernel.kallsyms]                        [k] generic_fillattr
     0.01%  pgrep            [kernel.kallsyms]                        [k] find_extend_vma
     0.01%  pgrep            [kernel.kallsyms]                        [k] aa_file_perm
     0.01%  pgrep            [kernel.kallsyms]                        [k] hugetlb_report_usage
     0.01%  pgrep            [kernel.kallsyms]                        [k] vfs_read
     0.01%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] syscall_return_via_sysret
     0.01%  pgrep            [unknown]                                [k] 0xfffffe000010e01b
     0.01%  pgrep            [kernel.kallsyms]                        [k] __lookup_mnt
     0.01%  pgrep            [kernel.kallsyms]                        [k] cpuset_task_status_allowed
     0.01%  pgrep            [kernel.kallsyms]                        [k] getname_flags
     0.01%  pgrep            libprocps.so.6.0.0                       [.] __strcpy_chk@plt
     0.01%  pgrep            [kernel.kallsyms]                        [k] ___slab_alloc
     0.01%  pgrep            [kernel.kallsyms]                        [k] render_cap_t
     0.01%  pgrep            [kernel.kallsyms]                        [k] mark_page_accessed
     0.01%  pgrep            libprocps.so.6.0.0                       [.] memcmp@plt
     0.01%  pgrep            [kernel.kallsyms]                        [k] security_file_alloc
