# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles:ppp'
# Event count (approx.): 23039810842
#
# Overhead  Command          Shared Object                           Symbol                                                                                                                                                                                                          
# ........  ...............  ......................................  ................................................................................................................................................................................................................
#
     0.00%  gnome-terminal-  libgtk-3.so.0.2200.30                   [.] 0x000000000017fd84
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000003b9375
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000005aaac0
     0.00%  node             node                                    [.] _ZN2v88internal10ParserBaseINS0_9PreParserEE20ParseUnaryExpressionEPb
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] g_info_new
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000050cec9
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000037f200
     0.00%  pgrep            libprocps.so.6.0.0                      [.] 0x0000000000006587
     0.00%  gnome-shell      libgtk-3.so.0.2200.30                   [.] 0x00000000001f8abe
     0.00%  gnome-shell      perf-2381.map                           [.] 0x00000bdc42cfdf2d
     0.00%  pgrep            [kernel.kallsyms]                       [k] memcg_kmem_put_cache
     0.00%  node             node                                    [.] _ZN2v88internal14CodeSerializer15SerializeObjectEPNS0_10HeapObjectENS0_22SerializerDeserializer9HowToCodeENS4_12WhereToPointEi
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x0000000000012a58
     0.00%  pgrep            [kernel.kallsyms]                       [k] getname
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] cogl_matrix_transform_points
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] cogl_is_texture
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000026658c
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                       [k] unix_stream_sendmsg
     0.00%  gnome-shell      [vdso]                                  [.] __vdso_clock_gettime
     0.00%  swapper          [kernel.kallsyms]                       [k] __switch_to_xtra
     0.00%  swapper          [kernel.kallsyms]                       [k] try_to_wake_up
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] malloc@plt
     0.00%  gnome-shell      libgio-2.0.so.0.5600.3                  [.] 0x000000000010cc5a
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] cogl_matrix_translate
     0.00%  chrome           chrome                                  [.] 0x0000000006dfe3b4
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x0000000000008b5b
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] cogl_framebuffer_get_modelview_matrix
     0.00%  gnome-shell      libc-2.27.so                            [.] _dl_catch_exception
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_rw_lock_writer_unlock
     0.00%  nautilus-deskto  [kernel.kallsyms]                       [k] __fget_light
     0.00%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_closure_invalidate
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x0000000000008ba9
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000007307b0
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] _find_next_bit
     0.00%  Xorg             Xorg                                    [.] 0x00000000000ccb40
     0.00%  gnome-shell      libc-2.27.so                            [.] __memmove_avx_unaligned_erms
     0.00%  i915/signal:0    [kernel.kallsyms]                       [k] cpupri_set
     0.00%  pgrep            [unknown]                               [k] 0xfffffe00000e201e
     0.00%  node             node                                    [.] _ZN2v88internal14LookupIterator29ApplyTransitionToDataPropertyENS0_6HandleINS0_10JSReceiverEEE
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] 0x000000000003a021
     0.00%  pgrep            [kernel.kallsyms]                       [k] security_file_alloc
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000064e0ff
     0.00%  gnome-shell      libgjs.so.0.0.0                         [.] _Z20JS_CallFunctionValueP9JSContextN2JS6HandleIP8JSObjectEENS2_INS1_5ValueEEERKNS1_16HandleValueArrayENS1_13MutableHandleIS6_EE@plt
     0.00%  pgrep            [kernel.kallsyms]                       [k] legitimize_path.isra.28
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] 0x0000000000068fee
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000003bb2ba
     0.00%  gnome-shell      perf-2381.map                           [.] 0x00000bdc42bd3db1
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_get_monotonic_time
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] g_object_get_qdata@plt
     0.00%  sleep            [kernel.kallsyms]                       [k] map_id_up
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] __slab_free
     0.00%  node             node                                    [.] _ZN2v88internal11interpreter19BytecodeArrayWriter22MaybeElideLastBytecodeENS1_8BytecodeEb.part.50
     0.00%  pgrep            libc-2.27.so                            [.] @plt
     0.00%  node             [kernel.kallsyms]                       [k] release_pages
     0.00%  Xorg             Xorg                                    [.] PickPointer
     0.00%  pgrep            [kernel.kallsyms]                       [k] __handle_irq_event_percpu
     0.00%  pgrep            libprocps.so.6.0.0                      [.] memcmp@plt
     0.00%  node             node                                    [.] _ZN2v88internal10SerializerINS0_26DefaultSerializerAllocatorEE16ObjectSerializer13OutputRawDataEm
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] g_callable_info_can_throw_gerror
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] 0x000000000009b8d5
     0.00%  Xorg             [kernel.kallsyms]                       [k] ep_send_events_proc
     0.00%  gnome-shell      libgjs.so.0.0.0                         [.] gjs_g_argument_release_in_arg
     0.00%  node             node                                    [.] _ZNK2v88internal7Scanner13CurrentSymbolEPNS0_15AstValueFactoryE
     0.00%  node             node                                    [.] _ZNSt6vectorIN2v88internal20ExpressionClassifierINS1_11ParserTypesINS1_9PreParserEEEE5ErrorENS1_13ZoneAllocatorIS7_EEE6resizeEm
     0.00%  node             node                                    [.] _ZN2v88internal10ParserBaseINS0_9PreParserEE18ValidateExpressionEPb
     0.00%  node             node                                    [.] _ZN2v88internal9Assembler4movpENS0_8RegisterEmNS0_9RelocInfo4ModeE
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] __rb_insert_augmented
     0.00%  stremio          libc-2.27.so                            [.] pthread_mutex_lock
     0.00%  node             node                                    [.] _ZN2v88internal9ScopeInfo6CreateEPNS0_7IsolateEPNS0_4ZoneEPNS0_5ScopeENS0_11MaybeHandleIS1_EE
     0.00%  node             node                                    [.] _ZN2v88internal8JSObject18MakePrototypesFastENS0_6HandleINS0_6ObjectEEENS0_12WhereToStartEPNS0_7IsolateE
     0.00%  pgrep            [kernel.kallsyms]                       [k] __follow_mount_rcu.isra.26
     0.00%  sleep            [kernel.kallsyms]                       [k] alloc_set_pte
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000003c0528
     0.00%  node             node                                    [.] _ZN2v88internal10ParserBaseINS0_9PreParserEE29ValidateArrowFormalParametersENS0_19PreParserExpressionEbbPb
     0.00%  sleep            [kernel.kallsyms]                       [k] __alloc_pages_nodemask
     0.00%  gnome-shell      libc-2.27.so                            [.] __strspn_sse42
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] native_irq_return_iret
     0.00%  gnome-shell      i965_dri.so                             [.] 0x000000000048c167
     0.00%  pgrep            [kernel.kallsyms]                       [k] vma_set_page_prot
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] cogl_attribute_new
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] lock_page_memcg
     0.00%  node             node                                    [.] _ZN2v88internal3Map17CopyAddDescriptorEPNS0_7IsolateENS0_6HandleIS1_EEPNS0_10DescriptorENS0_14TransitionFlagE
     0.00%  node             node                                    [.] _ZN2v88internal10SerializerINS0_26DefaultSerializerAllocatorEE22SerializeBackReferenceEPNS0_10HeapObjectENS0_22SerializerDeserializer9HowToCodeENS6_12WhereToPointEi
     0.00%  node             node                                    [.] _ZN2v88internal10SerializerINS0_26DefaultSerializerAllocatorEE16ObjectSerializer9SerializeEv
     0.00%  node             node                                    [.] _ZN2v88internal14heap_internals27GenerationalBarrierInternalEPNS0_10HeapObjectEmS3_
     0.00%  node             node                                    [.] _ZN2v88internal7Factory13InitializeMapEPNS0_3MapENS0_12InstanceTypeEiNS0_12ElementsKindEi
     0.00%  node             node                                    [.] _ZN2v88internal19TransitionsAccessor6InsertENS0_6HandleINS0_4NameEEENS2_INS0_3MapEEENS0_20SimpleTransitionFlagE
     0.00%  gnome-shell      libgtk-3.so.0.2200.30                   [.] 0x00000000001f53a1
     0.00%  pgrep            [kernel.kallsyms]                       [k] generic_file_read_iter
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000007384e4
     0.00%  node             node                                    [.] _ZN2v84base14RecursiveMutex4LockEv
     0.00%  node             node                                    [.] _ZN2v88internal6Parser13ParseFunctionEPKNS0_12AstRawStringEiNS0_12FunctionKindENS0_15FunctionLiteral12FunctionTypeEPNS0_16DeclarationScopeEPiSA_PbSA_SA_PNS0_8ZoneListIS4_EESB_
     0.00%  node             node                                    [.] _ZN2v88internal11StoreBuffer19InsertDuringRuntimeEPS1_m
     0.00%  node             node                                    [.] _ZN2v88internal10SerializerINS0_26DefaultSerializerAllocatorEE16ObjectSerializer13VisitPointersEPNS0_10HeapObjectEPPNS0_11MaybeObjectES9_
     0.00%  node             node                                    [.] _ZN2v88internal10ParserBaseINS0_6ParserEE22ParseStatementListItemEPb
     0.00%  node             node                                    [.] _ZN2v88internal10ParserBaseINS0_6ParserEE17ParseFunctionBodyEPNS0_8ZoneListIPNS0_9StatementEEEPKNS0_12AstRawStringEiRKNS0_22ParserFormalParametersENS0_12FunctionKindENS0_15FunctionLiteral12FunctionTypeEPb
     0.00%  node             node                                    [.] _ZN2v88internal10ParserBaseINS0_6ParserEE17ParseArrayLiteralEPb
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000003bc574
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000005ac871
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_layout_manager_get_child_meta
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] g_base_info_get_type
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] 0x000000000008f219
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000064c02d
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000003953da
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] 0x00000000000b4a89
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] release_pages
     0.00%  gnome-shell      [kernel.kallsyms]                       [k] hrtimer_active
     0.00%  gnome-shell      libcairo.so.2.11510.0                   [.] 0x0000000000024c19
     0.00%  pgrep            [kernel.kallsyms]                       [k] __check_heap_object
     0.00%  sleep            [kernel.kallsyms]                       [k] move_page_tables
     0.00%  pgrep            [kernel.kallsyms]                       [k] single_start
     0.00%  pgrep            [unknown]                               [k] 0xfffffe000010e027
     0.00%  gnome-shell      libglapi.so.0.0.0                       [.] 0x000000000000e540
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000007e2f60
     0.00%  pgrep            [kernel.kallsyms]                       [k] vmacache_update
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000019ed3d
     0.00%  pgrep            [kernel.kallsyms]                       [k] ___slab_alloc
     0.00%  gnome-shell      perf-2381.map                           [.] 0x00000bdc42ce3e50
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000006119cb
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000004a2c44
     0.00%  pgrep            [kernel.kallsyms]                       [k] __mutex_init
     0.00%  node             node                                    [.] _ZN2v88internal11interpreter25BytecodeRegisterOptimizer21RegisterAllocateEventENS1_8RegisterE
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x000000000001689d
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] copy_page_range
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] memcg_kmem_get_cache
     0.00%  chrome           chrome                                  [.] 0x0000000004bc7053
     0.00%  90captive_porta  dash                                    [.] 0x000000000000b930
     0.00%  Xorg             Xorg                                    [.] 0x000000000013be20
     0.00%  pgrep            [kernel.kallsyms]                       [k] find_next_iomem_res
     0.00%  pgrep            [kernel.kallsyms]                       [k] memcpy
     0.00%  sleep            [kernel.kallsyms]                       [k] filemap_map_pages
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] __alloc_pages_nodemask
     0.00%  pgrep            libprocps.so.6.0.0                      [.] 0x00000000000060f2
     0.00%  Xorg             i965_dri.so                             [.] 0x0000000000466b80
     0.00%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_datalist_get_flags@plt
     0.00%  90captive_porta  libc-2.27.so                            [.] __GI___strcmp_ssse3
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5            [.] 0x00000000010828b0
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x0000000000395bfe
     0.00%  gnome-shell      libgjs.so.0.0.0                         [.] _ZN17JSAutoCompartmentD1Ev@plt
     0.00%  Compositor       libpthread-2.27.so                      [.] __pthread_mutex_unlock
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000073b6c4
     0.00%  chrome           libpthread-2.27.so                      [.] __pthread_mutex_unlock
     0.00%  chrome           chrome                                  [.] 0x0000000006dfe4da
     0.00%  gnome-shell      libdconfsettings.so                     [.] 0x0000000000004d70
     0.00%  gnome-shell      libffi.so.6.0.4                         [.] ffi_call
     0.00%  chrome           [kernel.kallsyms]                       [k] do_syscall_64
     0.00%  pgrep            [kernel.kallsyms]                       [k] _vm_normal_page
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000001713f9
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000007c34c8
     0.00%  pgrep            [kernel.kallsyms]                       [k] vfs_read
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] cogl_matrix_entry_unref
     0.00%  firefox          [kernel.kallsyms]                       [k] __d_lookup_rcu
     0.00%  gnome-shell      libGLdispatch.so.0.0.0                  [.] 0x00000000000425e0
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] __handle_mm_fault
     0.00%  pgrep            [kernel.kallsyms]                       [k] profile_munmap
     0.00%  pgrep            [kernel.kallsyms]                       [k] fput
     0.00%  Xorg             libglamoregl.so                         [.] 0x0000000000006c70
     0.00%  pgrep            [kernel.kallsyms]                       [k] evict
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x0000000000265bc7
     0.00%  Chrome_ChildIOT  libc-2.27.so                            [.] malloc
     0.00%  pgrep            [kernel.kallsyms]                       [k] __handle_mm_fault
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000001a41c7
     0.00%  chrome           chrome                                  [.] 0x00000000077f4857
     0.00%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_type_interfaces
     0.00%  sublime_text     libc-2.27.so                            [.] __memset_avx2_unaligned_erms
     0.00%  gnome-shell      libgjs.so.0.0.0                         [.] 0x0000000000032eb4
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000007c8c69
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x0000000000008bf9
     0.00%  pgrep            [kernel.kallsyms]                       [k] common_perm_cond
     0.00%  gnome-shell      libst-1.0.so                            [.] 0x0000000000026010
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x0000000000646f75
     0.00%  Xorg             libglamoregl.so                         [.] 0x0000000000024266
     0.00%  Xorg             libglamoregl.so                         [.] 0x000000000000d778
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] 0x0000000000068fe6
     0.00%  chrome           chrome                                  [.] 0x0000000001d240e0
     0.00%  Xorg             libGL.so.1.0.0                          [.] glDrawArrays
     0.00%  gnome-shell      i965_dri.so                             [.] 0x00000000006c3718
     0.00%  pgrep            libprocps.so.6.0.0                      [.] 0x000000000000656d
     0.00%  Xorg             [kernel.kallsyms]                       [k] alloc_vmap_area
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_content_invalidate
     0.00%  pgrep            [kernel.kallsyms]                       [k] mem_cgroup_from_task
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000005a69f0
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000073b828
     0.00%  gnome-shell      [kernel.kallsyms]                       [k] change_protection_range
     0.00%  pgrep            [kernel.kallsyms]                       [k] get_empty_filp
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x0000000000489de9
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x000000000000e90a
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] 0x000000000001f094
     0.00%  gnome-shell      perf-2381.map                           [.] 0x00000bdc42bd3aa5
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000005c8fea
     0.00%  gnome-shell      libgjs.so.0.0.0                         [.] 0x000000000001f268
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] 0x0000000000045420
     0.00%  stremio          [kernel.kallsyms]                       [k] copy_user_generic_unrolled
     0.00%  Xorg             libglamoregl.so                         [.] 0x000000000000d7e7
     0.00%  pgrep            libprocps.so.6.0.0                      [.] 0x0000000000007020
     0.00%  Xorg             i965_dri.so                             [.] __vsnprintf_chk@plt
     0.00%  Xorg             [kernel.kallsyms]                       [k] drm_atomic_state_alloc
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x000000000001688e
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] g_interface_info_find_method
     0.00%  pgrep            [unknown]                               [k] 0xfffffe000010e01b
     0.00%  teamviewerd      [kernel.kallsyms]                       [k] pid_revalidate
     0.00%  gnome-shell      [kernel.kallsyms]                       [k] _raw_spin_trylock
     0.00%  gnome-terminal-  libgtk-3.so.0.2200.30                   [.] gtk_widget_get_type
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] g_callable_info_load_arg
     0.00%  Xorg             libc-2.27.so                            [.] __memset_avx2_unaligned_erms
     0.00%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_object_set
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x0000000000008b51
     0.00%  pgrep            [kernel.kallsyms]                       [k] __virt_addr_valid
     0.00%  stremio          libQt5Widgets.so.5.9.5                  [.] _ZN12QApplication6notifyEP7QObjectP6QEvent
     0.00%  Xorg             [kernel.kallsyms]                       [k] reservation_object_test_signaled_rcu
     0.00%  sublime_text     libglib-2.0.so.0.5600.3                 [.] g_hook_first_valid
     0.00%  gnome-shell      libGLdispatch.so.0.0.0                  [.] 0x0000000000057480
     0.00%  Chrome_IOThread  [kernel.kallsyms]                       [k] ttwu_do_wakeup
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000046d8e5
     0.00%  pgrep            pgrep                                   [.] 0x0000000000002ed9
     0.00%  gnome-shell      [kernel.kallsyms]                       [k] unix_stream_read_generic
     0.00%  Xorg             [vdso]                                  [.] __vdso_clock_gettime
     0.00%  gnome-shell      libgdk-3.so.0.2200.30                   [.] 0x0000000000047200
     0.00%  swapper          [kernel.kallsyms]                       [k] tick_nohz_idle_exit
     0.00%  Xorg             [kernel.kallsyms]                       [k] handle_mm_fault
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000005b3863
     0.00%  gnome-shell      libX11.so.6.3.0                         [.] 0x0000000000041093
     0.00%  sublime_text     libpixman-1.so.0.34.0                   [.] 0x000000000008c4ee
     0.00%  swapper          [kernel.kallsyms]                       [k] update_ts_time_stats
     0.00%  chrome           chrome                                  [.] 0x0000000007333ca4
     0.00%  sublime_text     libc-2.27.so                            [.] __GI___strcmp_ssse3
     0.00%  gnome-shell      libgjs.so.0.0.0                         [.] 0x0000000000032e30
     0.00%  chrome           chrome                                  [.] 0x0000000003ec337d
     0.00%  gnome-shell      perf-2381.map                           [.] 0x00000bdc415f86aa
     0.00%  pgrep            libprocps.so.6.0.0                      [.] 0x0000000000006928
     0.00%  Xorg             libglamoregl.so                         [.] 0x000000000001e720
     0.00%  Xorg             [kernel.kallsyms]                       [k] i915_switch_context
     0.00%  gnome-shell      perf-2381.map                           [.] 0x00000bdc42c5b064
     0.00%  gnome-shell      libgjs.so.0.0.0                         [.] g_error_get_type@plt
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] 0x00000000000641cc
     0.00%  teamviewerd      [kernel.kallsyms]                       [k] entry_SYSCALL_64_stage2
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000006c7426
     0.00%  pgrep            [kernel.kallsyms]                       [k] pid_getattr
     0.00%  pgrep            [kernel.kallsyms]                       [k] _raw_read_lock
     0.00%  Xorg             i965_dri.so                             [.] 0x0000000000317cbf
     0.00%  Xorg             [kernel.kallsyms]                       [k] enqueue_entity
     0.00%  gnome-shell      libst-1.0.so                            [.] 0x0000000000021160
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_bytes_get_data
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000005aca2e
     0.00%  pgrep            libc-2.27.so                            [.] __memmove_avx_unaligned_erms
     0.00%  gnome-shell      [kernel.kallsyms]                       [k] vfs_write
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_actor_get_first_child
     0.00%  pgrep            [unknown]                               [k] 0xfffffe000010e000
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000037fdc4
     0.00%  pgrep            [kernel.kallsyms]                       [k] file_ra_state_init
     0.00%  chrome           chrome                                  [.] 0x0000000003f0525c
     0.00%  sublime_text     libglib-2.0.so.0.5600.3                 [.] g_hash_table_lookup
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] 0x000000000005cce4
     0.00%  gnome-shell      i965_dri.so                             [.] 0x000000000019edf8
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000072ce52
     0.00%  gnome-shell      libgtk-3.so.0.2200.30                   [.] 0x000000000018a92a
     0.00%  gnome-shell      libst-1.0.so                            [.] 0x000000000001d687
     0.00%  TeamViewer       libQt5Core.so.5.9.5                     [.] _ZN11QTimerEventC1Ei
     0.00%  gnome-shell      i965_dri.so                             [.] 0x000000000046dfc8
     0.00%  pgrep            [kernel.kallsyms]                       [k] set_task_cpu
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] cogl_matrix_multiply
     0.00%  Xorg             [kernel.kallsyms]                       [k] sg_init_table
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] cogl_matrix_entry_get
     0.00%  swapper          [kernel.kallsyms]                       [k] ktime_get_update_offsets_now
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000001a8e09
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] activate_task
     0.00%  pgrep            libc-2.27.so                            [.] _IO_no_init
     0.00%  teamviewerd      [kernel.kallsyms]                       [k] tty_open
     0.00%  Xorg             [kernel.kallsyms]                       [k] __radix_tree_lookup
     0.00%  stremio          [vdso]                                  [.] __vdso_clock_gettime
     0.00%  gnome-shell      libgjs.so.0.0.0                         [.] 0x0000000000029dde
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x0000000000008c7b
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5            [.] 0x000000000083eef1
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000005cc7d0
     0.00%  Chrome_IOThread  chrome                                  [.] 0x00000000054d78c0
     0.00%  pgrep            pgrep                                   [.] 0x0000000000002f59
     0.00%  Xorg             [kernel.kallsyms]                       [k] i915_gem_object_get_pages_gtt
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] cairo_destroy@plt
     0.00%  gnome-shell      libgdk-3.so.0.2200.30                   [.] 0x00000000000687e5
     0.00%  pgrep            [kernel.kallsyms]                       [k] ret_from_intr
     0.00%  sublime_text     sublime_text                            [.] 0x0000000000304668
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000049f7fd
     0.00%  sublime_text     libgtk-x11-2.0.so.0.2400.32             [.] g_value_peek_pointer@plt
     0.00%  stremio          [kernel.kallsyms]                       [k] free_unref_page_prepare.part.64
     0.00%  pgrep            [kernel.kallsyms]                       [k] proc_single_open
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000048cf36
     0.00%  gnome-shell      libgjs.so.0.0.0                         [.] 0x0000000000040383
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000007c34e6
     0.00%  WebExtensions    libxul.so                               [.] 0x0000000003f78d95
     0.00%  sublime_text     libX11.so.6.3.0                         [.] xcb_poll_for_event@plt
     0.00%  swapper          [kernel.kallsyms]                       [k] put_prev_task_idle
     0.00%  teamviewerd      teamviewerd                             [.] 0x0000000000630a30
     0.00%  gnome-shell      libgirepository-1.0.so.1.0.0            [.] 0x0000000000008b90
     0.00%  kworker/u16:68   [kernel.kallsyms]                       [k] drm_mode_object_put
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000050cefa
     0.00%  stremio          libQt5XcbQpa.so.5.9.5                   [.] 0x000000000009d1d8
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000037d1a7
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                       [k] import_iovec
     0.00%  gnome-shell      libcairo.so.2.11510.0                   [.] 0x000000000009ac47
     0.00%  gnome-shell      libc-2.27.so                            [.] realloc
     0.00%  JS Helper        libmozjs-52.so.0.0.0                    [.] 0x0000000000722f68
     0.00%  Xorg             libglamoregl.so                         [.] 0x0000000000019122
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000005cf6d1
     0.00%  Xorg             [kernel.kallsyms]                       [k] __fget
     0.00%  gnome-shell      libst-1.0.so                            [.] 0x000000000001d69d
     0.00%  gnome-shell      [kernel.kallsyms]                       [k] __hrtimer_init
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x000000000073c37c
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_actor_needs_expand
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] 0x000000000005d5bc
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] 0x000000000005bf95
     0.00%  Xorg             Xorg                                    [.] dixLookupResourceByType
     0.00%  gnome-shell      [unknown]                               [k] 0xfffffe00000e204a
     0.00%  gnome-shell      [kernel.kallsyms]                       [k] native_sched_clock
     0.00%  sublime_text     libgobject-2.0.so.0.5600.3              [.] g_closure_invoke
     0.00%  gnome-shell      i965_dri.so                             [.] 0x00000000004870d7
     0.00%  pgrep            libprocps.so.6.0.0                      [.] 0x0000000000006454
     0.00%  pgrep            [kernel.kallsyms]                       [k] check_stack_object
     0.00%  Xorg             Xorg                                    [.] CompositeGlyphs
     0.00%  gnome-shell      libgjs.so.0.0.0                         [.] 0x000000000002957b
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000006c5c1c
     0.00%  Xorg             Xorg                                    [.] 0x00000000000ccb4f
     0.00%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_hash_table_iter_next
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                       [k] __x86_indirect_thunk_r12
     0.00%  Chrome_ChildIOT  libc-2.27.so                            [.] __memchr_avx2
     0.00%  gnome-shell      libst-1.0.so                            [.] 0x000000000001d66d
