v8-version,6,2,414,75,0
code-creation,Stub,3,2915,0x1ef2586242e0,2103,"RecordWriteStub"
code-creation,Stub,3,2915,0x1ef258624b80,2110,"RecordWriteStub"
code-creation,Stub,3,2916,0x1ef258625420,882,"RecordWriteStub"
code-creation,Stub,3,2917,0x1ef258625800,2084,"RecordWriteStub"
code-creation,Stub,3,2918,0x1ef2586260a0,2072,"RecordWriteStub"
code-creation,Stub,3,2919,0x1ef258626920,2106,"RecordWriteStub"
code-creation,Stub,3,2919,0x1ef2586271c0,2126,"RecordWriteStub"
code-creation,Stub,3,2920,0x1ef258627a80,2113,"RecordWriteStub"
code-creation,Stub,3,2921,0x1ef258628340,463,"StringAddStub"
code-creation,Builtin,5,2922,0x1ef258628580,190,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,2923,0x1ef2586286a0,123,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,2924,0x1ef258628780,260,"OrdinaryToPrimitive_Number"
code-creation,Stub,3,2925,0x1ef258628900,2117,"RecordWriteStub"
code-creation,Stub,3,2925,0x1ef2586291c0,2142,"RecordWriteStub"
code-creation,Stub,3,2926,0x1ef258629a80,2100,"RecordWriteStub"
code-creation,Stub,3,2927,0x1ef25862a320,2117,"RecordWriteStub"
code-creation,Stub,3,2928,0x1ef25862abe0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2929,0x1ef25862ad40,2130,"RecordWriteStub"
code-creation,Stub,3,2929,0x1ef25862b600,375,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2930,0x1ef25862b7e0,2076,"RecordWriteStub"
code-creation,Stub,3,2931,0x1ef25862c060,2142,"RecordWriteStub"
code-creation,Stub,3,2932,0x1ef25862c920,491,"StringAddStub"
code-creation,Stub,3,2933,0x1ef25862cb80,2088,"RecordWriteStub"
code-creation,Stub,3,2933,0x1ef25862d420,2125,"RecordWriteStub"
code-creation,Stub,3,2934,0x1ef25862dce0,2084,"RecordWriteStub"
code-creation,Stub,3,2935,0x1ef25862e580,215,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,2936,0x1ef25862e6c0,636,"An IC handler from the snapshot"
code-creation,Stub,3,2937,0x1ef25862e9a0,2126,"RecordWriteStub"
code-creation,Stub,3,2937,0x1ef25862f260,2109,"RecordWriteStub"
code-creation,Stub,3,2938,0x1ef25862fb00,2072,"RecordWriteStub"
code-creation,Stub,3,2939,0x1ef258630380,2130,"RecordWriteStub"
code-creation,Stub,3,2940,0x1ef258630c40,2125,"RecordWriteStub"
code-creation,Handler,4,2940,0x1ef258631500,552,"An IC handler from the snapshot"
code-creation,Stub,3,2941,0x1ef2586317a0,2088,"RecordWriteStub"
code-creation,Stub,3,2942,0x1ef258632040,2129,"RecordWriteStub"
code-creation,Stub,3,2943,0x1ef258632900,1225,"RecordWriteStub"
code-creation,Stub,3,2944,0x1ef258632e40,269,"CEntryStub"
code-creation,Stub,3,2944,0x1ef258632fc0,2100,"RecordWriteStub"
code-creation,Stub,3,2945,0x1ef258633860,215,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2946,0x1ef2586339a0,367,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,2947,0x1ef258633b80,636,"An IC handler from the snapshot"
code-creation,Stub,3,2948,0x1ef258633e60,2091,"RecordWriteStub"
code-creation,Stub,3,2949,0x1ef258634700,2130,"RecordWriteStub"
code-creation,Handler,4,2949,0x1ef258634fc0,132,"An IC handler from the snapshot"
code-creation,Stub,3,2950,0x1ef2586350c0,2076,"RecordWriteStub"
code-creation,Stub,3,2951,0x1ef258635940,884,"RecordWriteStub"
code-creation,Stub,3,2952,0x1ef258635d20,331,"CallApiGetterStub"
code-creation,Stub,3,2953,0x1ef258635ee0,261,"MathPowStub"
code-creation,Stub,3,2953,0x1ef258636060,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2954,0x1ef258636200,2091,"RecordWriteStub"
code-creation,Stub,3,2955,0x1ef258636aa0,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2956,0x1ef258636be0,2134,"RecordWriteStub"
code-creation,Stub,3,2957,0x1ef2586374a0,2126,"RecordWriteStub"
code-creation,Stub,3,2957,0x1ef258637d60,1207,"RecordWriteStub"
code-creation,Stub,3,2958,0x1ef258638280,2079,"RecordWriteStub"
code-creation,Stub,3,2959,0x1ef258638b00,411,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2960,0x1ef258638d00,2099,"RecordWriteStub"
code-creation,Stub,3,2961,0x1ef2586395a0,2160,"RecordWriteStub"
code-creation,Stub,3,2961,0x1ef258639e80,2088,"RecordWriteStub"
code-creation,Stub,3,2962,0x1ef25863a720,89,"DoubleToIStub"
code-creation,Stub,3,2967,0x1ef25863a7e0,2118,"RecordWriteStub"
code-creation,Stub,3,2968,0x1ef25863b0a0,2104,"RecordWriteStub"
code-creation,Handler,4,2968,0x1ef25863b940,132,"An IC handler from the snapshot"
code-creation,Stub,3,2969,0x1ef25863ba40,87,"DoubleToIStub"
code-creation,Stub,3,2970,0x1ef25863bb00,327,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2971,0x1ef25863bcc0,2100,"RecordWriteStub"
code-creation,Handler,4,2972,0x1ef25863c560,612,"An IC handler from the snapshot"
code-creation,Stub,3,2972,0x1ef25863c840,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2973,0x1ef25863c9e0,2118,"RecordWriteStub"
code-creation,Stub,3,2974,0x1ef25863d2a0,2091,"RecordWriteStub"
code-creation,Stub,3,2975,0x1ef25863db40,2087,"RecordWriteStub"
code-creation,Stub,3,2976,0x1ef25863e3e0,2145,"RecordWriteStub"
code-creation,Stub,3,2976,0x1ef25863ecc0,563,"TransitionElementsKindStub"
code-creation,Stub,3,2977,0x1ef25863ef60,884,"RecordWriteStub"
code-creation,Stub,3,2978,0x1ef25863f340,2088,"RecordWriteStub"
code-creation,Stub,3,2979,0x1ef25863fbe0,2087,"RecordWriteStub"
code-creation,Stub,3,2980,0x1ef258640480,2088,"RecordWriteStub"
code-creation,Stub,3,2980,0x1ef258640d20,308,"CEntryStub"
code-creation,Stub,3,2981,0x1ef258640ec0,2130,"RecordWriteStub"
code-creation,Stub,3,2982,0x1ef258641780,2130,"RecordWriteStub"
code-creation,Stub,3,2983,0x1ef258642040,2148,"RecordWriteStub"
code-creation,Stub,3,2983,0x1ef258642920,2118,"RecordWriteStub"
code-creation,Stub,3,2984,0x1ef2586431e0,2075,"RecordWriteStub"
code-creation,Stub,3,2985,0x1ef258643a60,1246,"RecordWriteStub"
code-creation,Handler,4,2986,0x1ef258643fa0,600,"An IC handler from the snapshot"
code-creation,Stub,3,2987,0x1ef258644260,2126,"RecordWriteStub"
code-creation,Stub,3,2987,0x1ef258644b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2988,0x1ef258644c60,2063,"RecordWriteStub"
code-creation,Stub,3,2989,0x1ef2586454e0,2100,"RecordWriteStub"
code-creation,Stub,3,2990,0x1ef258645d80,2103,"RecordWriteStub"
code-creation,Handler,4,2991,0x1ef258646620,552,"An IC handler from the snapshot"
code-creation,Stub,3,2991,0x1ef2586468c0,896,"RecordWriteStub"
code-creation,Stub,3,2992,0x1ef258646ca0,2100,"RecordWriteStub"
code-creation,Stub,3,2993,0x1ef258647540,2104,"RecordWriteStub"
code-creation,Stub,3,2994,0x1ef258647de0,1246,"RecordWriteStub"
code-creation,Stub,3,2994,0x1ef258648320,2100,"RecordWriteStub"
code-creation,Stub,3,2995,0x1ef258648bc0,2072,"RecordWriteStub"
code-creation,Stub,3,2996,0x1ef258649440,2099,"RecordWriteStub"
code-creation,Stub,3,2997,0x1ef258649ce0,2134,"RecordWriteStub"
code-creation,Stub,3,2998,0x1ef25864a5a0,2104,"RecordWriteStub"
code-creation,Stub,3,2998,0x1ef25864ae40,2100,"RecordWriteStub"
code-creation,Stub,3,2999,0x1ef25864b6e0,337,"ArrayConstructorStub"
code-creation,Builtin,5,3000,0x1ef25864b8a0,25,"Abort"
code-creation,Stub,3,3001,0x1ef25864b920,2114,"RecordWriteStub"
code-creation,Builtin,5,3002,0x1ef25864c1e0,15,"StrictPoisonPillThrower"
code-creation,Builtin,5,3003,0x1ef25864c260,28,"ReturnReceiver"
code-creation,Builtin,5,3004,0x1ef25864c2e0,446,"GeneratorPrototypeNext"
code-creation,Builtin,5,3005,0x1ef25864c500,249,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,3006,0x1ef25864c660,223,"CreateIterResultObject"
code-creation,Builtin,5,3007,0x1ef25864c7a0,450,"GeneratorPrototypeReturn"
code-creation,Builtin,5,3008,0x1ef25864c9e0,462,"GeneratorPrototypeThrow"
code-creation,Builtin,5,3008,0x1ef25864cc20,1544,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,3009,0x1ef25864d2a0,76,"ToBoolean"
code-creation,Builtin,5,3010,0x1ef25864d360,3876,"ResolveNativePromise"
code-creation,Builtin,5,3011,0x1ef25864e300,284,"StringEqual"
code-creation,Builtin,5,3012,0x1ef25864e480,5132,"PerformNativePromiseThen"
code-creation,Builtin,5,3013,0x1ef25864f900,668,"RejectNativePromise"
code-creation,Builtin,5,3014,0x1ef25864fc00,2044,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,3015,0x1ef258650460,1580,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,3016,0x1ef258650b00,912,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,3020,0x1ef258650f00,444,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,3021,0x1ef258651120,290,"AsyncGeneratorResolve"
code-creation,Builtin,5,3022,0x1ef2586512c0,111,"AsyncGeneratorReject"
code-creation,Builtin,5,3023,0x1ef2586513a0,1124,"AsyncGeneratorReturn"
code-creation,Builtin,5,3024,0x1ef258651880,920,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,3025,0x1ef258651c80,920,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,3026,0x1ef258652080,15,"Illegal"
code-creation,Builtin,5,3027,0x1ef258652100,15,"ObjectAssign"
code-creation,Builtin,5,3028,0x1ef258652180,15,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,3029,0x1ef258652200,15,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,3030,0x1ef258652280,15,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,3031,0x1ef258652300,15,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,3032,0x1ef258652380,15,"ObjectIs"
code-creation,Builtin,5,3033,0x1ef258652400,15,"ObjectPreventExtensions"
code-creation,Builtin,5,3034,0x1ef258652480,15,"ObjectSeal"
code-creation,Builtin,5,3034,0x1ef258652500,848,"ObjectCreate"
code-creation,Builtin,5,3035,0x1ef2586528c0,15,"ObjectDefineProperties"
code-creation,Builtin,5,3036,0x1ef258652940,15,"ObjectDefineProperty"
code-creation,Builtin,5,3037,0x1ef2586529c0,15,"ObjectFreeze"
code-creation,Builtin,5,3038,0x1ef258652a40,15,"ObjectGetPrototypeOf"
code-creation,Builtin,5,3039,0x1ef258652ac0,15,"ObjectSetPrototypeOf"
code-creation,Builtin,5,3040,0x1ef258652b40,15,"ObjectIsExtensible"
code-creation,Builtin,5,3041,0x1ef258652bc0,15,"ObjectIsFrozen"
code-creation,Builtin,5,3041,0x1ef258652c40,15,"ObjectIsSealed"
code-creation,Builtin,5,3042,0x1ef258652cc0,540,"ObjectKeys"
code-creation,Builtin,5,3043,0x1ef258652f40,15,"ObjectEntries"
code-creation,Builtin,5,3044,0x1ef258652fc0,15,"ObjectValues"
code-creation,Builtin,5,3045,0x1ef258653040,15,"ObjectDefineGetter"
code-creation,Builtin,5,3045,0x1ef2586530c0,15,"ObjectDefineSetter"
code-creation,Builtin,5,3046,0x1ef258653140,1943,"ObjectPrototypeHasOwnProperty"
code-creation,Builtin,5,3047,0x1ef258653940,15,"ObjectLookupGetter"
code-creation,Builtin,5,3048,0x1ef2586539c0,15,"ObjectLookupSetter"
code-creation,Builtin,5,3049,0x1ef258653a40,195,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,3050,0x1ef258653b80,15,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,3051,0x1ef258653c00,1176,"ObjectPrototypeToString"
code-creation,Builtin,5,3052,0x1ef258654100,132,"ClassOf"
code-creation,Builtin,5,3053,0x1ef258654200,47,"ObjectPrototypeValueOf"
code-creation,Builtin,5,3053,0x1ef2586542a0,15,"ObjectPrototypeGetProto"
code-creation,Builtin,5,3054,0x1ef258654320,15,"ObjectPrototypeSetProto"
code-creation,Builtin,5,3055,0x1ef2586543a0,15,"FunctionConstructor"
code-creation,Builtin,5,3056,0x1ef258654420,64,"FunctionPrototypeApply"
code-creation,Builtin,5,3057,0x1ef2586544c0,1240,"CallWithArrayLike"
code-creation,Builtin,5,3058,0x1ef258654a00,81,"CallVarargs"
code-creation,Builtin,5,3059,0x1ef258654ac0,848,"FastFunctionPrototypeBind"
code-creation,Builtin,5,3060,0x1ef258654e80,15,"FunctionPrototypeBind"
code-creation,Builtin,5,3061,0x1ef258654f00,47,"FunctionPrototypeCall"
code-creation,Builtin,5,3061,0x1ef258654fa0,15,"FunctionPrototypeToString"
code-creation,Builtin,5,3062,0x1ef258655020,227,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,3063,0x1ef258655180,51,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,3064,0x1ef258655220,1056,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,3065,0x1ef2586556a0,1056,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,3066,0x1ef258655b20,159,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,3067,0x1ef258655c20,167,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,3068,0x1ef258655d40,163,"AsyncGeneratorYieldResolveClosure"
code-creation,Builtin,5,3069,0x1ef258655e60,167,"AsyncGeneratorReturnResolveClosure"
code-creation,Builtin,5,3070,0x1ef258655f80,163,"AsyncGeneratorReturnClosedResolveClosure"
code-creation,Builtin,5,3070,0x1ef2586560a0,159,"AsyncGeneratorReturnClosedRejectClosure"
code-creation,Builtin,5,3075,0x1ef2586561a0,20,"ArrayConstructor"
code-creation,Builtin,5,3076,0x1ef258656220,99,"ArrayIsArray"
code-creation,Builtin,5,3077,0x1ef258656300,15,"ArrayConcat"
code-creation,Builtin,5,3078,0x1ef258656380,651,"FastArrayPop"
code-creation,Builtin,5,3079,0x1ef258656680,15,"ArrayPop"
code-creation,Builtin,5,3079,0x1ef258656700,2400,"FastArrayPush"
code-creation,Builtin,5,3080,0x1ef2586570c0,15,"ArrayPush"
code-creation,Builtin,5,3081,0x1ef258657140,1056,"FastArrayShift"
code-creation,Builtin,5,3082,0x1ef2586575c0,15,"ArrayShift"
code-creation,Builtin,5,3083,0x1ef258657640,15,"ArrayUnshift"
code-creation,Builtin,5,3084,0x1ef2586576c0,15,"ArraySlice"
code-creation,Builtin,5,3084,0x1ef258657740,15,"ArraySplice"
code-creation,Builtin,5,3085,0x1ef2586577c0,1264,"ArrayIncludes"
code-creation,Builtin,5,3086,0x1ef258657d20,1052,"ArrayIndexOf"
code-creation,Builtin,5,3087,0x1ef2586581a0,386,"ArrayPrototypeKeys"
code-creation,Builtin,5,3088,0x1ef2586583a0,526,"ArrayPrototypeEntries"
code-creation,Builtin,5,3089,0x1ef258658620,526,"ArrayPrototypeValues"
code-creation,Builtin,5,3090,0x1ef2586588a0,1509,"ArrayForEach"
code-creation,Builtin,5,3090,0x1ef258658f00,538,"ToLength"
code-creation,Builtin,5,3091,0x1ef258659180,249,"NonNumberToNumber"
code-creation,Builtin,5,3092,0x1ef2586592e0,190,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,3093,0x1ef258659400,2864,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,3094,0x1ef258659fa0,1936,"ProxyHasProperty"
code-creation,Builtin,5,3095,0x1ef25865a7a0,2016,"HasProperty"
code-creation,Builtin,5,3096,0x1ef25865afe0,5774,"ArrayFilter"
