v8-version,7,0,276,38,-node.18,0
code-creation,Builtin,3,2209,0x3e63c3b10980,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2214,0x3e63c3b10ac0,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2219,0x3e63c3b10c00,95,StringToNumber
code-creation,Builtin,3,2223,0x3e63c3b10ca0,103,ToName
code-creation,Builtin,3,2227,0x3e63c3b10d60,317,NonNumberToNumber
code-creation,Builtin,3,2232,0x3e63c3b10ee0,325,NonNumberToNumeric
code-creation,Builtin,3,2237,0x3e63c3b11080,269,ToNumber
code-creation,Builtin,3,2241,0x3e63c3b111e0,320,ToNumberConvertBigInt
code-creation,Builtin,3,2246,0x3e63c3b11360,357,ToNumeric
code-creation,Builtin,3,2250,0x3e63c3b11520,279,NumberToString
code-creation,Builtin,3,2254,0x3e63c3b11680,359,ToString
code-creation,Builtin,3,2258,0x3e63c3b11840,494,ToInteger
code-creation,Builtin,3,2267,0x3e63c3b11a80,510,ToInteger_TruncateMinusZero
code-creation,Builtin,3,2272,0x3e63c3b11cc0,546,ToLength
code-creation,Builtin,3,2277,0x3e63c3b11f40,156,Typeof
code-creation,Builtin,3,2281,0x3e63c3b12020,75,GetSuperConstructor
code-creation,Builtin,3,2285,0x3e63c3b120c0,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2295,0x3e63c3b121c0,10768,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,2301,0x3e63c3b14c20,3015,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2306,0x3e63c3b15840,40,KeyedLoadIC_Slow
code-creation,Builtin,3,2318,0x3e63c3b158c0,15040,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2323,0x3e63c3b193c0,44,KeyedStoreIC_Slow
code-creation,Builtin,3,2327,0x3e63c3b19440,40,LoadGlobalIC_Slow
code-creation,Builtin,3,2331,0x3e63c3b194c0,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,2336,0x3e63c3b19560,40,LoadIC_Slow
code-creation,Builtin,3,2340,0x3e63c3b195e0,16,LoadIC_StringLength
code-creation,Builtin,3,2345,0x3e63c3b19640,20,LoadIC_StringWrapperLength
code-creation,Builtin,3,2350,0x3e63c3b196a0,3368,LoadIC_Uninitialized
code-creation,Builtin,3,2355,0x3e63c3b1a420,44,StoreGlobalIC_Slow
code-creation,Builtin,3,2361,0x3e63c3b1a4a0,6732,StoreIC_Uninitialized
code-creation,Builtin,3,2365,0x3e63c3b1bf40,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,2371,0x3e63c3b1bfc0,1028,EnqueueMicrotask
code-creation,Builtin,3,2376,0x3e63c3b1c420,1532,RunMicrotasks
code-creation,Builtin,3,2381,0x3e63c3b1ca60,2416,HasProperty
code-creation,Builtin,3,2386,0x3e63c3b1d420,1052,DeleteProperty
code-creation,Builtin,3,2390,0x3e63c3b1d880,40,Abort
code-creation,Builtin,3,2394,0x3e63c3b1d900,40,AbortJS
code-creation,Builtin,3,2398,0x3e63c3b1d980,15,EmptyFunction
code-creation,Builtin,3,2403,0x3e63c3b1d9e0,15,Illegal
